"EQUIPOS"	"variable"	"value"
"Mushuc Runa"	"J7"	"9"
"Nueve de Octubre"	"J7"	"16"
"Cumbayá FC"	"J7"	"10"
"Delfín SC"	"J7"	"6"
"Gualaceo SC"	"J7"	"15"
"Deportivo Cuenca"	"J7"	"8"
"Macará"	"J7"	"11"
"Emelec"	"J8"	"4"
"Guayaquil City"	"J8"	"8"
"Técnico Univ."	"J8"	"14"
"Universidad Católica"	"J8"	"3"
"Barcelona SC"	"J8"	"1"
"Independiente del Valle"	"J8"	"7"
"LDU Quito"	"J8"	"2"
"Aucas"	"J8"	"9"
"Orense SC"	"J8"	"12"
"Mushuc Runa"	"J8"	"11"
"Nueve de Octubre"	"J8"	"16"
"Cumbayá FC"	"J8"	"10"
"Delfín SC"	"J8"	"5"
"Gualaceo SC"	"J8"	"13"
"Deportivo Cuenca"	"J8"	"6"
"Macará"	"J8"	"15"
"Emelec"	"J9"	"3"
"Guayaquil City"	"J9"	"11"
"Técnico Univ."	"J9"	"14"
"Universidad Católica"	"J9"	"4"
"Barcelona SC"	"J9"	"1"
"Independiente del Valle"	"J9"	"5"
"LDU Quito"	"J9"	"2"
"Aucas"	"J9"	"6"
"Orense SC"	"J9"	"9"
"Mushuc Runa"	"J9"	"13"
"Nueve de Octubre"	"J9"	"16"
"Cumbayá FC"	"J9"	"12"
"Delfín SC"	"J9"	"7"
"Gualaceo SC"	"J9"	"10"
"Deportivo Cuenca"	"J9"	"8"
"Macará"	"J9"	"15"
"Emelec"	"J10"	"3"
"Guayaquil City"	"J10"	"7"
"Técnico Univ."	"J10"	"15"
"Universidad Católica"	"J10"	"4"
"Barcelona SC"	"J10"	"1"
"Independiente del Valle"	"J10"	"5"
"LDU Quito"	"J10"	"2"
"Aucas"	"J10"	"8"
"Orense SC"	"J10"	"11"
"Mushuc Runa"	"J10"	"13"
"Nueve de Octubre"	"J10"	"16"
"Cumbayá FC"	"J10"	"12"
"Delfín SC"	"J10"	"9"
"Gualaceo SC"	"J10"	"6"
"Deportivo Cuenca"	"J10"	"10"
"Macará"	"J10"	"14"
"Emelec"	"J11"	"4"
"Guayaquil City"	"J11"	"11"
"Técnico Univ."	"J11"	"15"
"Universidad Católica"	"J11"	"5"
"Barcelona SC"	"J11"	"1"
"Independiente del Valle"	"J11"	"2"
"LDU Quito"	"J11"	"3"
"Aucas"	"J11"	"7"
"Orense SC"	"J11"	"10"
"Mushuc Runa"	"J11"	"12"
"Nueve de Octubre"	"J11"	"16"
"Cumbayá FC"	"J11"	"13"
"Delfín SC"	"J11"	"8"
"Gualaceo SC"	"J11"	"6"
"Deportivo Cuenca"	"J11"	"9"
"Macará"	"J11"	"14"
